brand_raw,raw_text,url,size_hint_inch,price_hint_eur,platform,country,scraped_at
Samsung,samsung the frame 2025 50 qled 4k art mode smart ai tv with slim fit wall mount qe50ls03fa 10282623.html,https://www.currys.co.uk/products/samsung-the-frame-2025-50-qled-4k-art-mode-smart-ai-tv-with-slim-fit-wall-mount-qe50ls03fa-10282623.html,50.0,679.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg nano81a 65 nanocell ai 4k hdr smart tv 2025 65nano81a6a 10282143.html,https://www.currys.co.uk/products/lg-nano81a-65-nanocell-ai-4k-hdr-smart-tv-2025-65nano81a6a-10282143.html,65.0,479.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg c5 48 oled evo ai 4k hdr smart tv 2025 oled48c54la 10281782.html,https://www.currys.co.uk/products/lg-c5-48-oled-evo-ai-4k-hdr-smart-tv-2025-oled48c54la-10281782.html,48.0,949.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung qn70f 65 neo qled 4k mini led vision ai smart tv 2025 qe65qn70f 10282633.html,https://www.currys.co.uk/products/samsung-qn70f-65-neo-qled-4k-mini-led-vision-ai-smart-tv-2025-qe65qn70f-10282633.html,65.0,849.0,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia 8 ii 55 qdoled 4k hdr ai smart tv k55xr8m25bp 10282779.html,https://www.currys.co.uk/products/sony-bravia-8-ii-55-qdoled-4k-hdr-ai-smart-tv-k55xr8m25bp-10282779.html,55.0,100.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung s90f 48 oled 4k vision ai smart tv 2025 qe48s90f 10288298.html,https://www.currys.co.uk/products/samsung-s90f-48-oled-4k-vision-ai-smart-tv-2025-qe48s90f-10288298.html,48.0,899.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung q7f 75 qled 4k vision ai smart tv 2025 qe75q7f 10282607.html,https://www.currys.co.uk/products/samsung-q7f-75-qled-4k-vision-ai-smart-tv-2025-qe75q7f-10282607.html,75.0,899.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung qn70f 55 neo qled 4k mini led vision ai smart tv 2025 qe55qn70f 10282625.html,https://www.currys.co.uk/products/samsung-qn70f-55-neo-qled-4k-mini-led-vision-ai-smart-tv-2025-qe55qn70f-10282625.html,55.0,699.0,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia 3 55 led 4k hdr ai smart tv k55s38b 10282781.html,https://www.currys.co.uk/products/sony-bravia-3-55-led-4k-hdr-ai-smart-tv-k55s38b-10282781.html,55.0,599.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg ua75 65 led 4k hdr smart tv 2025 65ua75006la 10282141.html,https://www.currys.co.uk/products/lg-ua75-65-led-4k-hdr-smart-tv-2025-65ua75006la-10282141.html,65.0,429.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung s85f 65 oled 4k vision ai smart tv 2025 qe65s85f 10282708.html,https://www.currys.co.uk/products/samsung-s85f-65-oled-4k-vision-ai-smart-tv-2025-qe65s85f-10282708.html,65.0,1199.0,Currys,GB,2026-06-22T10:23:58Z
JVC,jvc lt40ct350 40 smart full hd led tv with freely 10292598.html,https://www.currys.co.uk/products/jvc-lt40ct350-40-smart-full-hd-led-tv-with-freely-10292598.html,40.0,179.99,Currys,GB,2026-06-22T10:23:58Z
LG,lg g5 55 oled evo ai 4k hdr smart tv 2025 stand version oled55g56ls 10282094.html,https://www.currys.co.uk/products/lg-g5-55-oled-evo-ai-4k-hdr-smart-tv-2025-stand-version-oled55g56ls-10282094.html,55.0,1499.99,Currys,GB,2026-06-22T10:23:58Z
TCL,tcl t6c 43 qled 4k hdr smart fire tv with freely 43t6cuk 10283934.html,https://www.currys.co.uk/products/tcl-t6c-43-qled-4k-hdr-smart-fire-tv-with-freely-43t6cuk-10283934.html,43.0,249.0,Currys,GB,2026-06-22T10:23:58Z
JVC,jvc lt43ct350 43 smart full hd led tv with freely 10292599.html,https://www.currys.co.uk/products/jvc-lt43ct350-43-smart-full-hd-led-tv-with-freely-10292599.html,43.0,199.99,Currys,GB,2026-06-22T10:23:58Z
JVC,jvc lt32cr250 roku tv 32 smart hd ready hdr led tv 10274389.html,https://www.currys.co.uk/products/jvc-lt32cr250-roku-tv-32-smart-hd-ready-hdr-led-tv-10274389.html,32.0,169.99,Currys,GB,2026-06-22T10:23:58Z
LG,lg g5 65 oled evo ai 4k hdr smart tv 2025 stand version oled65g56ls 10282093.html,https://www.currys.co.uk/products/lg-g5-65-oled-evo-ai-4k-hdr-smart-tv-2025-stand-version-oled65g56ls-10282093.html,65.0,1999.0,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia 8 ii 65 qdoled 4k hdr ai smart tv k65xr8m25b 10282242.html,https://www.currys.co.uk/products/sony-bravia-8-ii-65-qdoled-4k-hdr-ai-smart-tv-k65xr8m25b-10282242.html,65.0,200.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung s90f 42 oled 4k vision ai smart tv 2025 qe42s90f 10288291.html,https://www.currys.co.uk/products/samsung-s90f-42-oled-4k-vision-ai-smart-tv-2025-qe42s90f-10288291.html,42.0,749.0,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia 3 65 led 4k hdr ai smart tv k65s38bp 10282788.html,https://www.currys.co.uk/products/sony-bravia-3-65-led-4k-hdr-ai-smart-tv-k65s38bp-10282788.html,65.0,759.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg qned86 50 qned evo ai mini led 4k hdr smart tv 2025 50qned86a6c 10282156.html,https://www.currys.co.uk/products/lg-qned86-50-qned-evo-ai-mini-led-4k-hdr-smart-tv-2025-50qned86a6c-10282156.html,50.0,549.0,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense e6q 43 led 4k hdr smart tv with freely 43e6qtuk 10285478.html,https://www.currys.co.uk/products/hisense-e6q-43-led-4k-hdr-smart-tv-with-freely-43e6qtuk-10285478.html,43.0,229.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung the frame 2025 65 qled 4k art mode smart ai tv with slim fit wall mount qe65ls03fa 10282616.html,https://www.currys.co.uk/products/samsung-the-frame-2025-65-qled-4k-art-mode-smart-ai-tv-with-slim-fit-wall-mount-qe65ls03fa-10282616.html,65.0,1099.0,Currys,GB,2026-06-22T10:23:58Z
JVC,jvc lt40cr350 40 roku smart full hd led tv with freely 10274386.html,https://www.currys.co.uk/products/jvc-lt40cr350-40-roku-smart-full-hd-led-tv-with-freely-10274386.html,40.0,219.99,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia 3 50 led 4k hdr ai smart tv k50s38bp 10282793.html,https://www.currys.co.uk/products/sony-bravia-3-50-led-4k-hdr-ai-smart-tv-k50s38bp-10282793.html,50.0,549.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg qned72 43 qned ai 4k hdr smart tv 2026 43qned72b6b 10301317.html,https://www.currys.co.uk/products/lg-qned72-43-qned-ai-4k-hdr-smart-tv-2026-43qned72b6b-10301317.html,43.0,399.99,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense deco 32s5qtuk 32 smart full hd hdr led tv with freely white 10293663.html,https://www.currys.co.uk/products/hisense-deco-32s5qtuk-32-smart-full-hd-hdr-led-tv-with-freely-white-10293663.html,32.0,299.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg g5 48 oled evo ai 4k hdr smart tv 2025 stand version oled48g56ls 10281558.html,https://www.currys.co.uk/products/lg-g5-48-oled-evo-ai-4k-hdr-smart-tv-2025-stand-version-oled48g56ls-10281558.html,48.0,1099.99,Currys,GB,2026-06-22T10:23:58Z
LG,lg g5 55 oled evo ai 4k hdr smart tv 2025 wall mount version oled55g54lw 10280772.html,https://www.currys.co.uk/products/lg-g5-55-oled-evo-ai-4k-hdr-smart-tv-2025-wall-mount-version-oled55g54lw-10280772.html,55.0,1499.99,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia xr42a90ku 42 smart 4k ultra hd hdr oled tv with google tv and assistant 10238591.html,https://www.currys.co.uk/products/sony-bravia-xr42a90ku-42-smart-4k-ultra-hd-hdr-oled-tv-with-google-tv-and-assistant-10238591.html,42.0,1399.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung qn80f 55 neo qled 4k mini led vision ai smart tv 2025 qe55qn80f 10282624.html,https://www.currys.co.uk/products/samsung-qn80f-55-neo-qled-4k-mini-led-vision-ai-smart-tv-2025-qe55qn80f-10282624.html,55.0,749.0,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense u8q 65 mini led 4k 165hz smart ai tv with freely 65u8qtuk 10283604.html,https://www.currys.co.uk/products/hisense-u8q-65-mini-led-4k-165hz-smart-ai-tv-with-freely-65u8qtuk-10283604.html,65.0,1249.0,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia 8 55 oled 4k hdr ai smart tv k55xr80pu 10264125.html,https://www.currys.co.uk/products/sony-bravia-8-55-oled-4k-hdr-ai-smart-tv-k55xr80pu-10264125.html,55.0,1399.0,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia 8 65 oled 4k hdr ai smart tv k65xr80u 10264099.html,https://www.currys.co.uk/products/sony-bravia-8-65-oled-4k-hdr-ai-smart-tv-k65xr80u-10264099.html,65.0,1799.0,Currys,GB,2026-06-22T10:23:58Z
Sony,sony bravia 5 65 xr mini led 4k hdr smart tv k65xr55b 10282787.html,https://www.currys.co.uk/products/sony-bravia-5-65-xr-mini-led-4k-hdr-smart-tv-k65xr55b-10282787.html,65.0,1299.0,Currys,GB,2026-06-22T10:23:58Z
Hisense,hisense a4s 40 led full hd hdr smart tv with freely 40a4stuk 10300906.html,https://www.currys.co.uk/products/hisense-a4s-40-led-full-hd-hdr-smart-tv-with-freely-40a4stuk-10300906.html,40.0,329.0,Currys,GB,2026-06-22T10:23:58Z
Logik,logik l32rhe25 roku 32 smart hd ready hdr led tv 10274388.html,https://www.currys.co.uk/products/logik-l32rhe25-roku-32-smart-hd-ready-hdr-led-tv-10274388.html,32.0,109.99,Currys,GB,2026-06-22T10:23:58Z
JVC,jvc lt32c490 32 hd ready led tv 10188046.html,https://www.currys.co.uk/products/jvc-lt32c490-32-hd-ready-led-tv-10188046.html,32.0,99.99,Currys,GB,2026-06-22T10:23:58Z
LG,lg 43lr60006la 43 smart full hd hdr led tv 10294362.html,https://www.currys.co.uk/products/lg-43lr60006la-43-smart-full-hd-hdr-led-tv-10294362.html,43.0,179.99,Currys,GB,2026-06-22T10:23:58Z
JVC,jvc lt24c490 24 hd ready led tv black 10188051.html,https://www.currys.co.uk/products/jvc-lt24c490-24-hd-ready-led-tv-black-10188051.html,24.0,89.99,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung ue32f6000fkxxu 32 smart full hd hdr led tv 10286717.html,https://www.currys.co.uk/products/samsung-ue32f6000fkxxu-32-smart-full-hd-hdr-led-tv-10286717.html,32.0,179.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung ue24f6000fkxxu 24 smart full hd hdr led tv 10286602.html,https://www.currys.co.uk/products/samsung-ue24f6000fkxxu-24-smart-full-hd-hdr-led-tv-10286602.html,24.0,149.0,Currys,GB,2026-06-22T10:23:58Z
LG,lg 32lq63006la 32 smart full hd hdr led tv 10235449.html,https://www.currys.co.uk/products/lg-32lq63006la-32-smart-full-hd-hdr-led-tv-10235449.html,32.0,159.0,Currys,GB,2026-06-22T10:23:58Z
Samsung,samsung ue32h5000fkxxu 32 smart hd ready hdr led tv 10286718.html,https://www.currys.co.uk/products/samsung-ue32h5000fkxxu-32-smart-hd-ready-hdr-led-tv-10286718.html,32.0,159.0,Currys,GB,2026-06-22T10:23:58Z
