brand,model,country,platform,url,active
LG,55QNED80A,IT,Amazon,https://www.amazon.it/dp/B0FFH1PYHB,true
LG,43QNED80A,IT,Amazon,https://www.amazon.it/dp/B0FFH1FGLC,true
LG,55UA751C,IT,Amazon,https://www.amazon.it/dp/B0FZB4KGBY,true
LG,65QNED70B,IT,Amazon,https://www.amazon.it/dp/B0H36TTFCF,true
LG,55NANO81A6A,IT,Amazon,https://www.amazon.it/dp/B0FFGZZTMH,true
LG,65NANO81A6A,IT,Amazon,https://www.amazon.it/dp/B0FFH1CDP9,true
LG,83B6,IT,Amazon,https://www.amazon.it/dp/B0GWN4JLLB,true
LG,50NANO81A6A,IT,Amazon,https://www.amazon.it/dp/B0FFH1X811,true
LG,48C5,IT,Amazon,https://www.amazon.it/dp/B0G6C27G1X,true
LG,48C5,IT,Amazon,https://www.amazon.it/dp/B0FFH34DCP,true
LG,65QNED80A,IT,Amazon,https://www.amazon.it/dp/B0FQP2D3X5,true
LG,32LK500B,IT,Amazon,https://www.amazon.it/dp/B07DW8B83S,true
LG,48B5,IT,Amazon,https://www.amazon.it/dp/B0F7HZV2T1,true
LG,55C5,IT,Amazon,https://www.amazon.it/dp/B0FFH43D41,true
LG,48G5,IT,Amazon,https://www.amazon.it/dp/B0FFH16KMX,true
LG,42C5,IT,Amazon,https://www.amazon.it/dp/B0FFH2LKJC,true
LG,83G5,IT,Amazon,https://www.amazon.it/dp/B0F44FYPFB,true
LG,65QNED200A,IT,Amazon,https://www.amazon.it/dp/B0FQ2S1ZB3,true
LG,65B5,IT,Amazon,https://www.amazon.it/dp/B0F7HYW329,true
LG,65QNED70A,IT,Amazon,https://www.amazon.it/dp/B0FQPD1QWT,true
LG,65G5,IT,Amazon,https://www.amazon.it/dp/B0F7J3BFKL,true
LG,55QNED90B,IT,Amazon,https://www.amazon.it/dp/B0GWMW22BH,true
LG,55C9P,IT,Amazon,https://www.amazon.it/dp/B07QNS1LVK,true
LG,50QNED85A,IT,Amazon,https://www.amazon.it/dp/B0FFGZB9CV,true
LG,77G5,IT,Amazon,https://www.amazon.it/dp/B0F3D6NBFN,true
LG,55QNED90A,IT,Amazon,https://www.amazon.it/dp/B0FQP3S1SZ,true
LG,100MRGB96B6,IT,Amazon,https://www.amazon.it/dp/B0GWMVWP83,true
Samsung,83S90F,IT,Amazon,https://www.amazon.it/dp/B0F4T3NF1J,true
TCL,55P6K,IT,Amazon,https://www.amazon.it/dp/B0DV94JCVX,true
TCL,65P6K,IT,Amazon,https://www.amazon.it/dp/B0DV9GHKQ6,true
TCL,50Q6C,IT,Amazon,https://www.amazon.it/dp/B0FD9VF12V,true
TCL,43T6C,IT,Amazon,https://www.amazon.it/dp/B0DW98NN53,true
TCL,55Q6C,IT,Amazon,https://www.amazon.it/dp/B0DX185Q23,true
TCL,43T6C,IT,Amazon,https://www.amazon.it/dp/B0F8QFTXW9,true
TCL,75P6K,IT,Amazon,https://www.amazon.it/dp/B0DV9L8KLJ,true
TCL,65P8K,IT,Amazon,https://www.amazon.it/dp/B0F8J37SQ5,true
TCL,55P6K,IT,Amazon,https://www.amazon.it/dp/B0F7RVDMKF,true
TCL,40S5K,IT,Amazon,https://www.amazon.it/dp/B0F3XN9M4V,true
TCL,32V5D,IT,Amazon,https://www.amazon.it/dp/B0GYSZDBNH,true
TCL,55P7K,IT,Amazon,https://www.amazon.it/dp/B0F9TF6MQZ,true
TCL,55Q7C,IT,Amazon,https://www.amazon.it/dp/B0F38H2GGC,true
TCL,55C8L,IT,Amazon,https://www.amazon.it/dp/B0GTZS35X6,true
TCL,65C8K,IT,Amazon,https://www.amazon.it/dp/B0F9WRKNS3,true
TCL,75C6KS,IT,Amazon,https://www.amazon.it/dp/B0F445XG4G,true
TCL,55C6K,IT,Amazon,https://www.amazon.it/dp/B0H3KSHN8P,true
TCL,75P6K,IT,Amazon,https://www.amazon.it/dp/B0F74QS3PJ,true
TCL,75A400,IT,Amazon,https://www.amazon.it/dp/B0GYPJP1KL,true
TCL,65C6K,IT,Amazon,https://www.amazon.it/dp/B0H3KML2J6,true
TCL,43P6K,IT,Amazon,https://www.amazon.it/dp/B0FRFYWPC5,true
TCL,43P7K,IT,Amazon,https://www.amazon.it/dp/B0F8VZHXJM,true
TCL,55C6K,IT,Amazon,https://www.amazon.it/dp/B0F7XPY5FF,true
TCL,55P6K,IT,Amazon,https://www.amazon.it/dp/B0FMRTRKFL,true
TCL,75C6K,IT,Amazon,https://www.amazon.it/dp/B0H2JJST31,true
TCL,55P8K,IT,Amazon,https://www.amazon.it/dp/B0DV9JP49P,true
TCL,32S5K,IT,Amazon,https://www.amazon.it/dp/B0FDQ9PW4J,true
TCL,65P7K,IT,Amazon,https://www.amazon.it/dp/B0FQQLT73V,true
TCL,50C7K,IT,Amazon,https://www.amazon.it/dp/B0F5BSJ83Z,true
TCL,75C7L,IT,Amazon,https://www.amazon.it/dp/B0GVSSJFDT,true
TCL,98RM7L,IT,Amazon,https://www.amazon.it/dp/B0GZZYN4VR,true
TCL,75C6K,IT,Amazon,https://www.amazon.it/dp/B0F94DQTQH,true
TCL,55Q6C,IT,Amazon,https://www.amazon.it/dp/B0FQP11BY3,true
TCL,55Q7C,IT,Amazon,https://www.amazon.it/dp/B0FC5WTX6P,true
TCL,75C7K,IT,Amazon,https://www.amazon.it/dp/B0F5BP3VXC,true
TCL,43T6C,IT,Amazon,https://www.amazon.it/dp/B0FQNWLPTJ,true
TCL,50Q6C,IT,Amazon,https://www.amazon.it/dp/B0FQNYVVWK,true
TCL,65Q6C,IT,Amazon,https://www.amazon.it/dp/B0FQNYBYF1,true
TCL,85C6K,IT,Amazon,https://www.amazon.it/dp/B0H3KTWJQ2,true
TCL,55Q7C,IT,Amazon,https://www.amazon.it/dp/B0FC5N4DCM,true
TCL,75T6C,IT,Amazon,https://www.amazon.it/dp/B0FQP2GDZ8,true
TCL,98Q7C,IT,Amazon,https://www.amazon.it/dp/B0FC5DXGS7,true
TCL,65T6C,IT,Amazon,https://www.amazon.it/dp/B0FC5V51WB,true
TCL,55T6C,IT,Amazon,https://www.amazon.it/dp/B0FC61MRTV,true
TCL,85Q6C,IT,Amazon,https://www.amazon.it/dp/B0FQNVF8DP,true
TCL,50T6C,IT,Amazon,https://www.amazon.it/dp/B0FQNXK9TK,true
TCL,75Q7C,IT,Amazon,https://www.amazon.it/dp/B0FC5DSKPM,true
TCL,98Q6C,IT,Amazon,https://www.amazon.it/dp/B0FQNV7V5W,true
TCL,75Q7C,IT,Amazon,https://www.amazon.it/dp/B0FC5K4WCV,true
TCL,85Q7C,IT,Amazon,https://www.amazon.it/dp/B0FC61Y1JL,true
TCL,75P8K,IT,Amazon,https://www.amazon.it/dp/B0FQNZXJFG,true
