Date,Time,Brand,Product Name,Country,Platform,Price,Currency,Page Title,Status,Price_Trend,Quarantine Reason
2026-08-19,05:52:35,TCL,55C8L,FR,Boulanger,699.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-19,05:52:35,TCL,75X11L,FR,Boulanger,699.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-20,05:49:54,TCL,65C7L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,涨价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-20,05:49:54,TCL,65C8L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,涨价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-20,05:49:54,TCL,55C8L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,涨价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-20,05:49:54,TCL,75X11L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,涨价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-21,05:51:44,LG,65G6,FR,Boulanger,649.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-21,05:51:44,LG,48C6,FR,Boulanger,649.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-21,05:51:44,LG,55MRGB86B6,FR,Boulanger,649.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-21,05:51:44,TCL,65C7L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-21,05:51:44,TCL,65C8L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-21,05:51:44,TCL,55C8L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-21,05:51:44,TCL,75X11L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-22,05:45:40,LG,65G6,FR,Boulanger,649.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-22,05:45:40,LG,48C6,FR,Boulanger,649.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-22,05:45:40,LG,55MRGB86B6,FR,Boulanger,649.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-22,05:45:40,TCL,65C7L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-22,05:45:40,TCL,65C8L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-22,05:45:40,TCL,55C8L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-22,05:45:40,TCL,75X11L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,持平,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-23,05:48:19,TCL,65C8L,FR,Boulanger,1099.0,EUR,Batch category snapshot,Success,涨价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-23,05:48:19,TCL,75X11L,FR,Boulanger,1099.0,EUR,Batch category snapshot,Success,涨价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-24,05:57:04,TCL,65C7L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-24,05:57:04,TCL,65C8L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-24,05:57:04,TCL,55C8L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
2026-08-24,05:57:04,TCL,75X11L,FR,Boulanger,749.0,EUR,Batch category snapshot,Success,降价,boulanger_product_card_price_leak_confirmed_2026-08-24
